Medicine_Name,Category,Symptoms
Omeprazole 387,Acid Reflux,"Heartburn, GERD, Acid Reflux"
Cetirizine 388,Antihistamine,"Allergy, Sneezing, Runny Nose"
Losartan 389,Blood Pressure,"Hypertension, Kidney Protection"
Losartan 390,Blood Pressure,"Hypertension, Kidney Protection"
Aspirin 391,Pain Reliever,"Fever, Pain, Heart Attack Prevention"
Ibuprofen 392,Pain Reliever,"Inflammation, Headache, Muscle Pain"
Paracetamol 393,Pain Reliever,"Fever, Headache, Body Pain"
Atorvastatin 394,Cholesterol,"High Cholesterol, Heart Disease"
Prednisolone 395,Steroid,"Inflammation, Asthma, Autoimmune Diseases"
Levothyroxine 396,Thyroid,"Hypothyroidism, Thyroid Disorders"
Prednisolone 397,Steroid,"Inflammation, Asthma, Autoimmune Diseases"
Paracetamol 398,Pain Reliever,"Fever, Headache, Body Pain"
Gliclazide 399,Diabetes,"Type 2 Diabetes, Blood Sugar Control"
Metformin 400,Diabetes,"High Blood Sugar, Type 2 Diabetes"
Omeprazole 401,Acid Reflux,"Heartburn, GERD, Acid Reflux"
Levothyroxine 402,Thyroid,"Hypothyroidism, Thyroid Disorders"
Levothyroxine 403,Thyroid,"Hypothyroidism, Thyroid Disorders"
Amlodipine 404,Blood Pressure,"Hypertension, Angina"
Metformin 405,Diabetes,"High Blood Sugar, Type 2 Diabetes"
Levothyroxine 406,Thyroid,"Hypothyroidism, Thyroid Disorders"
Paracetamol 407,Pain Reliever,"Fever, Headache, Body Pain"
Telmisartan 408,Blood Pressure,"Hypertension, Cardiovascular Risk"
Losartan 409,Blood Pressure,"Hypertension, Kidney Protection"
Aspirin 410,Pain Reliever,"Fever, Pain, Heart Attack Prevention"
Gliclazide 411,Diabetes,"Type 2 Diabetes, Blood Sugar Control"
Amoxicillin 412,Antibiotic,"Bacterial Infections, Pneumonia, Ear Infection"
Ranitidine 413,Acid Reflux,"GERD, Acid Reflux, Indigestion"
Prednisolone 414,Steroid,"Inflammation, Asthma, Autoimmune Diseases"
Amlodipine 415,Blood Pressure,"Hypertension, Angina"
Levothyroxine 416,Thyroid,"Hypothyroidism, Thyroid Disorders"
Paracetamol 417,Pain Reliever,"Fever, Headache, Body Pain"
Levothyroxine 418,Thyroid,"Hypothyroidism, Thyroid Disorders"
Prednisolone 419,Steroid,"Inflammation, Asthma, Autoimmune Diseases"
Omeprazole 420,Acid Reflux,"Heartburn, GERD, Acid Reflux"
Prednisolone 421,Steroid,"Inflammation, Asthma, Autoimmune Diseases"
Amlodipine 422,Blood Pressure,"Hypertension, Angina"
Ranitidine 423,Acid Reflux,"GERD, Acid Reflux, Indigestion"
Levothyroxine 424,Thyroid,"Hypothyroidism, Thyroid Disorders"
Ibuprofen 425,Pain Reliever,"Inflammation, Headache, Muscle Pain"
Ranitidine 426,Acid Reflux,"GERD, Acid Reflux, Indigestion"
Amoxicillin 427,Antibiotic,"Bacterial Infections, Pneumonia, Ear Infection"
Gliclazide 428,Diabetes,"Type 2 Diabetes, Blood Sugar Control"
Atorvastatin 429,Cholesterol,"High Cholesterol, Heart Disease"
Aspirin 430,Pain Reliever,"Fever, Pain, Heart Attack Prevention"
Paracetamol 431,Pain Reliever,"Fever, Headache, Body Pain"
Losartan 432,Blood Pressure,"Hypertension, Kidney Protection"
Prednisolone 433,Steroid,"Inflammation, Asthma, Autoimmune Diseases"
Metformin 434,Diabetes,"High Blood Sugar, Type 2 Diabetes"
Prednisolone 435,Steroid,"Inflammation, Asthma, Autoimmune Diseases"
Telmisartan 436,Blood Pressure,"Hypertension, Cardiovascular Risk"
Omeprazole 437,Acid Reflux,"Heartburn, GERD, Acid Reflux"
Ranitidine 438,Acid Reflux,"GERD, Acid Reflux, Indigestion"
Ranitidine 439,Acid Reflux,"GERD, Acid Reflux, Indigestion"
Prednisolone 440,Steroid,"Inflammation, Asthma, Autoimmune Diseases"
Ranitidine 441,Acid Reflux,"GERD, Acid Reflux, Indigestion"
Prednisolone 442,Steroid,"Inflammation, Asthma, Autoimmune Diseases"
Omeprazole 443,Acid Reflux,"Heartburn, GERD, Acid Reflux"
Gliclazide 444,Diabetes,"Type 2 Diabetes, Blood Sugar Control"
Metformin 445,Diabetes,"High Blood Sugar, Type 2 Diabetes"
Paracetamol 446,Pain Reliever,"Fever, Headache, Body Pain"
Ibuprofen 447,Pain Reliever,"Inflammation, Headache, Muscle Pain"
Paracetamol 448,Pain Reliever,"Fever, Headache, Body Pain"
Atorvastatin 449,Cholesterol,"High Cholesterol, Heart Disease"
Amoxicillin 450,Antibiotic,"Bacterial Infections, Pneumonia, Ear Infection"
Ibuprofen 451,Pain Reliever,"Inflammation, Headache, Muscle Pain"
Telmisartan 452,Blood Pressure,"Hypertension, Cardiovascular Risk"
Ranitidine 453,Acid Reflux,"GERD, Acid Reflux, Indigestion"
Ranitidine 454,Acid Reflux,"GERD, Acid Reflux, Indigestion"
Cetirizine 455,Antihistamine,"Allergy, Sneezing, Runny Nose"
Omeprazole 456,Acid Reflux,"Heartburn, GERD, Acid Reflux"
Losartan 457,Blood Pressure,"Hypertension, Kidney Protection"
Telmisartan 458,Blood Pressure,"Hypertension, Cardiovascular Risk"
Aspirin 459,Pain Reliever,"Fever, Pain, Heart Attack Prevention"
Aspirin 460,Pain Reliever,"Fever, Pain, Heart Attack Prevention"
Omeprazole 461,Acid Reflux,"Heartburn, GERD, Acid Reflux"
Amoxicillin 462,Antibiotic,"Bacterial Infections, Pneumonia, Ear Infection"
Metformin 463,Diabetes,"High Blood Sugar, Type 2 Diabetes"
Ibuprofen 464,Pain Reliever,"Inflammation, Headache, Muscle Pain"
Aspirin 465,Pain Reliever,"Fever, Pain, Heart Attack Prevention"
Paracetamol 466,Pain Reliever,"Fever, Headache, Body Pain"
Paracetamol 467,Pain Reliever,"Fever, Headache, Body Pain"
Prednisolone 468,Steroid,"Inflammation, Asthma, Autoimmune Diseases"
Amoxicillin 469,Antibiotic,"Bacterial Infections, Pneumonia, Ear Infection"
Cetirizine 470,Antihistamine,"Allergy, Sneezing, Runny Nose"
Amlodipine 471,Blood Pressure,"Hypertension, Angina"
Metformin 472,Diabetes,"High Blood Sugar, Type 2 Diabetes"
Metformin 473,Diabetes,"High Blood Sugar, Type 2 Diabetes"
Paracetamol 474,Pain Reliever,"Fever, Headache, Body Pain"
Atorvastatin 475,Cholesterol,"High Cholesterol, Heart Disease"
Ibuprofen 476,Pain Reliever,"Inflammation, Headache, Muscle Pain"
Amoxicillin 477,Antibiotic,"Bacterial Infections, Pneumonia, Ear Infection"
Amlodipine 478,Blood Pressure,"Hypertension, Angina"
Levothyroxine 479,Thyroid,"Hypothyroidism, Thyroid Disorders"
Ibuprofen 480,Pain Reliever,"Inflammation, Headache, Muscle Pain"
Atorvastatin 481,Cholesterol,"High Cholesterol, Heart Disease"
Levothyroxine 482,Thyroid,"Hypothyroidism, Thyroid Disorders"
Gliclazide 483,Diabetes,"Type 2 Diabetes, Blood Sugar Control"
Paracetamol 484,Pain Reliever,"Fever, Headache, Body Pain"
Amlodipine 485,Blood Pressure,"Hypertension, Angina"
Metformin 486,Diabetes,"High Blood Sugar, Type 2 Diabetes"
Levothyroxine 487,Thyroid,"Hypothyroidism, Thyroid Disorders"
Cetirizine 488,Antihistamine,"Allergy, Sneezing, Runny Nose"
Atorvastatin 489,Cholesterol,"High Cholesterol, Heart Disease"
Amlodipine 490,Blood Pressure,"Hypertension, Angina"
Prednisolone 491,Steroid,"Inflammation, Asthma, Autoimmune Diseases"
Ibuprofen 492,Pain Reliever,"Inflammation, Headache, Muscle Pain"
Levothyroxine 493,Thyroid,"Hypothyroidism, Thyroid Disorders"
Ranitidine 494,Acid Reflux,"GERD, Acid Reflux, Indigestion"
Atorvastatin 495,Cholesterol,"High Cholesterol, Heart Disease"
Amoxicillin 496,Antibiotic,"Bacterial Infections, Pneumonia, Ear Infection"
Metformin 497,Diabetes,"High Blood Sugar, Type 2 Diabetes"
Aspirin 498,Pain Reliever,"Fever, Pain, Heart Attack Prevention"
Aspirin 499,Pain Reliever,"Fever, Pain, Heart Attack Prevention"
Atorvastatin 500,Cholesterol,"High Cholesterol, Heart Disease"
